,Dataset,File,Track_ID,Mean_rotation,nb_neighbors,nb_critical_neighbors,mean_nb_neighbors_per_frame,mean_nb_critical_neighbors_per_frame,mean_contact,is_static
0,stanford,nexus_1.txt,2.0,16.614818365616816,15,6,9.8,3.1,10.333333333333334,False
1,stanford,nexus_1.txt,3.0,0.0,12,2,7.25,0.25,2.5,True
2,stanford,nexus_1.txt,4.0,89.09251625059359,12,3,7.7,0.9,6.0,False
3,stanford,nexus_1.txt,5.0,37.745199172868695,14,0,7.75,0.0,0.0,False
4,stanford,nexus_1.txt,6.0,6.247487398253297,15,2,8.85,0.55,5.5,False
5,stanford,nexus_1.txt,7.0,7.625771042470398,15,0,7.25,0.0,0.0,False
6,stanford,nexus_1.txt,8.0,12.744860143160633,17,0,10.45,0.0,0.0,False
7,stanford,nexus_1.txt,9.0,3.6791094361513292,13,1,7.7,1.0,20.0,False
8,stanford,nexus_1.txt,10.0,6.436744031514258,13,1,7.85,1.0,20.0,False
9,stanford,nexus_1.txt,11.0,3.3235862268920284,14,1,8.8,1.0,20.0,False
10,stanford,nexus_1.txt,12.0,91.65382754672837,14,1,9.0,0.1,2.0,False
11,stanford,nexus_1.txt,13.0,23.329721851079846,11,1,7.45,0.45,9.0,False
12,stanford,nexus_1.txt,14.0,27.114517680127907,14,0,9.6,0.0,0.0,False
13,stanford,nexus_1.txt,15.0,7.907643243458531,17,3,10.4,2.0,13.333333333333334,False
14,stanford,nexus_1.txt,16.0,2.8625739812546453,16,1,10.1,0.45,9.0,False
15,stanford,nexus_1.txt,17.0,4.887541374023117,13,0,8.35,0.0,0.0,False
16,stanford,nexus_1.txt,18.0,10.052348525664652,15,1,10.8,0.1,2.0,False
17,stanford,nexus_1.txt,19.0,11.44624382542256,17,4,11.5,1.05,5.25,False
18,stanford,nexus_1.txt,20.0,156.469692724397,19,0,11.95,0.0,0.0,False
19,stanford,nexus_1.txt,21.0,4.592083207808548,15,0,10.8,0.0,0.0,False
20,stanford,nexus_1.txt,22.0,4.667982786251214,17,0,11.5,0.0,0.0,False
21,stanford,nexus_1.txt,23.0,18.291436584398166,19,0,11.95,0.0,0.0,False
22,stanford,nexus_1.txt,24.0,3.090247912211445,16,1,10.1,0.1,2.0,False
23,stanford,nexus_1.txt,25.0,15.094266554275679,13,0,8.35,0.0,0.0,False
24,stanford,nexus_1.txt,26.0,15.097357394616928,15,1,10.8,0.1,2.0,False
